ticker,company_name,sector,industry,market_cap_mm,roe,net_income_mm,avg_volume,current_price,trailing_pe,revenue_growth,profit_margin,exchange
ATRO,Astronics Corporation,Industrials,Aerospace & Defense,2691.0,14.8,29.4,728466,75.52,,0.151,0.03405,NASDAQ
DORM,"Dorman Products, Inc.",Consumer Cyclical,Auto Parts,3427.0,14.7,204.2,207260,112.12,16.885544,0.008,0.09585,NASDAQ
PLUS,ePlus inc.,Technology,Software - Application,2126.0,14.6,148.1,168681,80.43,14.3625,0.246,0.055159997,NASDAQ
OLED,Universal Display Corporation,Technology,Electronic Components,4746.0,14.3,241.9,713333,99.82,19.649607,0.066,0.37207,NASDAQ
KALU,Kaiser Aluminum Corporation,Basic Materials,Aluminum,2040.0,14.3,112.5,212626,125.84,18.587887,0.214,0.033350002,NASDAQ
SFD,"Smithfield Foods, Inc.",Consumer Defensive,Packaged Foods,9537.0,14.0,869.0,808659,24.26,10.927928,0.124,0.05663,NASDAQ
VC,Visteon Corporation,Consumer Cyclical,Auto Parts,2472.0,13.9,201.0,551228,90.6,12.445054,0.01,0.053340003,NASDAQ
REYN,Reynolds Consumer Products Inc.,Consumer Cyclical,Packaging & Containers,4834.0,13.7,301.0,956898,22.98,16.069931,0.014,0.08089,NASDAQ
ROAD,"Construction Partners, Inc.",Industrials,Engineering & Construction,7100.0,13.7,122.0,544296,125.63,56.846153,0.441,0.03988,NASDAQ
LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,4113.0,13.5,124.5,209161,206.27,33.649265,0.394,0.46423,NASDAQ
SMTC,Semtech Corporation,Technology,Semiconductors,8058.0,13.4,28.6,1424421,87.08,155.5,0.127,0.02782,NASDAQ
MGRC,McGrath RentCorp,Industrials,Rental & Leasing Services,2702.0,13.2,156.3,136733,109.8,18.61017,0.053,0.16554001,NASDAQ
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",Consumer Defensive,Discount Stores,6699.0,13.0,223.6,1212235,109.23,30.25762,0.186,0.08813,NASDAQ
LSTR,"Landstar System, Inc.",Industrials,Integrated Freight & Logistics,5479.0,13.0,115.0,565065,159.52,48.339397,-0.029,0.02417,NASDAQ
BCPC,Balchem Corporation,Basic Materials,Specialty Chemicals,5690.0,12.9,154.8,183941,175.7,37.067513,0.098,0.14930001,NASDAQ
CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,Food Distribution,2573.0,12.7,72.4,430858,63.22,37.630955,0.105,0.017439999,NASDAQ
PLXS,Plexus Corp.,Technology,Electronic Components,5126.0,12.6,176.8,305346,191.35,29.758944,0.096,0.04284,NASDAQ
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,7543.0,12.5,107.6,1008781,92.4,76.36363,0.168,0.07461,NASDAQ
FRPT,"Freshpet, Inc.",Consumer Defensive,Packaged Foods,4179.0,12.3,139.1,1270327,85.19,32.26894,0.086,0.12626,NASDAQ
PSMT,"PriceSmart, Inc.",Consumer Defensive,Discount Stores,4519.0,12.2,147.5,212528,146.64,29.92653,0.099,0.02792,NASDAQ
PLAB,"Photronics, Inc.",Technology,Semiconductor Equipment & Materials,2076.0,12.2,136.5,1575180,35.14,15.017095,0.061,0.1583,NASDAQ
RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,Auto & Truck Dealerships,5287.0,12.1,263.8,512253,68.72,21.015291,-0.118,0.03548,NASDAQ
