ticker,company_name,ciq_id,sector,industry,market_cap_mm,country,status,added_date,notes
MYRG,MYR Group Inc.,,Industrials,Engineering & Construction,4168.0,US,watchlist,2026-03-06,Stage1 screen (ROE=18.8%)
VICR,Vicor Corporation,,Technology,Electronic Components,8172.0,US,watchlist,2026-03-06,Stage1 screen (ROE=18.5%)
RMBS,Rambus Inc.,,Technology,Semiconductors,9907.0,US,watchlist,2026-03-06,Stage1 screen (ROE=18.5%)
OSIS,"OSI Systems, Inc.",,Technology,Electronic Components,4652.0,US,watchlist,2026-03-06,Stage1 screen (ROE=18.3%)
ASO,"Academy Sports and Outdoors, Inc.",,Consumer Cyclical,Specialty Retail,4027.0,US,watchlist,2026-03-06,Stage1 screen (ROE=18.3%)
MZTI,The Marzetti Company,,Consumer Defensive,Packaged Foods,4530.0,US,watchlist,2026-03-06,Stage1 screen (ROE=17.9%)
ENPH,"Enphase Energy, Inc.",,Technology,Solar,5395.0,US,watchlist,2026-03-06,Stage1 screen (ROE=17.9%)
MAT,"Mattel, Inc.",,Consumer Cyclical,Leisure,4982.0,US,watchlist,2026-03-06,Stage1 screen (ROE=17.7%)
URBN,"Urban Outfitters, Inc.",,Consumer Cyclical,Apparel Retail,5886.0,US,watchlist,2026-03-06,Stage1 screen (ROE=17.6%)
CVCO,"Cavco Industries, Inc.",,Consumer Cyclical,Residential Construction,4391.0,US,watchlist,2026-03-06,Stage1 screen (ROE=17.2%)
ARLP,"Alliance Resource Partners, L.P.",,Energy,Thermal Coal,3460.0,US,watchlist,2026-03-06,Stage1 screen (ROE=17.1%)
MGNI,"Magnite, Inc.",,Communication Services,Advertising Agencies,2044.0,US,watchlist,2026-03-06,Stage1 screen (ROE=17.1%)
FRSH,Freshworks Inc.,,Technology,Software - Application,2449.0,US,watchlist,2026-03-06,Stage1 screen (ROE=16.9%)
HWKN,"Hawkins, Inc.",,Basic Materials,Specialty Chemicals,3138.0,US,watchlist,2026-03-06,Stage1 screen (ROE=16.9%)
PRDO,Perdoceo Education Corporation,,Consumer Defensive,Education & Training Services,2210.0,US,watchlist,2026-03-06,Stage1 screen (ROE=16.6%)
SKYW,"SkyWest, Inc.",,Industrials,Airlines,3853.0,US,watchlist,2026-03-06,Stage1 screen (ROE=16.6%)
DOX,Amdocs Limited,,Technology,Software - Infrastructure,7391.0,US,watchlist,2026-03-06,Stage1 screen (ROE=16.5%)
LMAT,"LeMaitre Vascular, Inc.",,Healthcare,Medical Instruments & Supplies,2418.0,US,watchlist,2026-03-06,Stage1 screen (ROE=15.8%)
ALRM,"Alarm.com Holdings, Inc.",,Technology,Software - Application,2501.0,US,watchlist,2026-03-06,Stage1 screen (ROE=15.8%)
OTTR,Otter Tail Corporation,,Industrials,Conglomerates,3745.0,US,watchlist,2026-03-06,Stage1 screen (ROE=15.6%)
GNTX,Gentex Corporation,,Consumer Cyclical,Auto Parts,4928.0,US,watchlist,2026-03-06,Stage1 screen (ROE=15.5%)
SHC,Sotera Health Company,,Healthcare,Diagnostics & Research,4283.0,US,watchlist,2026-03-06,Stage1 screen (ROE=15.4%)
ACIW,"ACI Worldwide, Inc.",,Technology,Software - Infrastructure,4418.0,US,watchlist,2026-03-06,Stage1 screen (ROE=15.4%)
BELFB,Bel Fuse Inc.,,Technology,Electronic Components,2564.0,US,watchlist,2026-03-06,Stage1 screen (ROE=15.4%)
OPCH,"Option Care Health, Inc.",,Healthcare,Medical Care Facilities,4835.0,US,watchlist,2026-03-06,Stage1 screen (ROE=15.2%)
DOCU,"DocuSign, Inc.",,Technology,Software - Application,9659.0,US,watchlist,2026-03-06,Stage1 screen (ROE=15.2%)
CORT,Corcept Therapeutics Incorporated,,Healthcare,Biotechnology,3621.0,US,watchlist,2026-03-06,Stage1 screen (ROE=15.0%)
CART,Maplebear Inc.,,Consumer Cyclical,Internet Retail,9656.0,US,watchlist,2026-03-06,Stage1 screen (ROE=14.9%)
CPB,The Campbell's Company,,Consumer Defensive,Packaged Foods,7471.0,US,watchlist,2026-03-06,Stage1 screen (ROE=14.8%)
ATRO,Astronics Corporation,,Industrials,Aerospace & Defense,2691.0,US,watchlist,2026-03-06,Stage1 screen (ROE=14.8%)
DORM,"Dorman Products, Inc.",,Consumer Cyclical,Auto Parts,3427.0,US,watchlist,2026-03-06,Stage1 screen (ROE=14.7%)
PLUS,ePlus inc.,,Technology,Software - Application,2126.0,US,watchlist,2026-03-06,Stage1 screen (ROE=14.6%)
OLED,Universal Display Corporation,,Technology,Electronic Components,4746.0,US,watchlist,2026-03-06,Stage1 screen (ROE=14.3%)
KALU,Kaiser Aluminum Corporation,,Basic Materials,Aluminum,2040.0,US,watchlist,2026-03-06,Stage1 screen (ROE=14.3%)
SFD,"Smithfield Foods, Inc.",,Consumer Defensive,Packaged Foods,9537.0,US,watchlist,2026-03-06,Stage1 screen (ROE=14.0%)
VC,Visteon Corporation,,Consumer Cyclical,Auto Parts,2472.0,US,watchlist,2026-03-06,Stage1 screen (ROE=13.9%)
REYN,Reynolds Consumer Products Inc.,,Consumer Cyclical,Packaging & Containers,4834.0,US,watchlist,2026-03-06,Stage1 screen (ROE=13.7%)
ROAD,"Construction Partners, Inc.",,Industrials,Engineering & Construction,7100.0,US,watchlist,2026-03-06,Stage1 screen (ROE=13.7%)
LGND,Ligand Pharmaceuticals Incorporated,,Healthcare,Biotechnology,4113.0,US,watchlist,2026-03-06,Stage1 screen (ROE=13.5%)
SMTC,Semtech Corporation,,Technology,Semiconductors,8058.0,US,watchlist,2026-03-06,Stage1 screen (ROE=13.4%)
MGRC,McGrath RentCorp,,Industrials,Rental & Leasing Services,2702.0,US,watchlist,2026-03-06,Stage1 screen (ROE=13.2%)
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",,Consumer Defensive,Discount Stores,6699.0,US,watchlist,2026-03-06,Stage1 screen (ROE=13.0%)
LSTR,"Landstar System, Inc.",,Industrials,Integrated Freight & Logistics,5479.0,US,watchlist,2026-03-06,Stage1 screen (ROE=13.0%)
BCPC,Balchem Corporation,,Basic Materials,Specialty Chemicals,5690.0,US,watchlist,2026-03-06,Stage1 screen (ROE=12.9%)
CHEF,"The Chefs' Warehouse, Inc.",,Consumer Defensive,Food Distribution,2573.0,US,watchlist,2026-03-06,Stage1 screen (ROE=12.7%)
PLXS,Plexus Corp.,,Technology,Electronic Components,5126.0,US,watchlist,2026-03-06,Stage1 screen (ROE=12.6%)
AAON,"AAON, Inc.",,Industrials,Building Products & Equipment,7543.0,US,watchlist,2026-03-06,Stage1 screen (ROE=12.5%)
FRPT,"Freshpet, Inc.",,Consumer Defensive,Packaged Foods,4179.0,US,watchlist,2026-03-06,Stage1 screen (ROE=12.3%)
PSMT,"PriceSmart, Inc.",,Consumer Defensive,Discount Stores,4519.0,US,watchlist,2026-03-06,Stage1 screen (ROE=12.2%)
PLAB,"Photronics, Inc.",,Technology,Semiconductor Equipment & Materials,2076.0,US,watchlist,2026-03-06,Stage1 screen (ROE=12.2%)
RUSHA,"Rush Enterprises, Inc.",,Consumer Cyclical,Auto & Truck Dealerships,5287.0,US,watchlist,2026-03-06,Stage1 screen (ROE=12.1%)
